global_event_ordinal	model	request_ordinal	seed	event_ordinal	endpoint_id	selector
6406	02_leaky_relu_leaky_relu0	60	60	14	tflite.Tensor.quantization	sg=0;tensor=0
6407	02_leaky_relu_leaky_relu0	60	60	15	tflite.Tensor.is_variable	sg=0;tensor=0
6408	02_leaky_relu_leaky_relu0	60	60	16	tflite.Tensor.shape_signature	sg=0;tensor=0
6409	02_leaky_relu_leaky_relu0	60	60	17	tflite.Tensor.has_rank	sg=0;tensor=0
6410	02_leaky_relu_leaky_relu0	60	60	18	tflite.Operator.opcode_index	sg=0;operator=0
6411	02_leaky_relu_leaky_relu0	60	60	19	tflite.Operator.inputs	sg=0;operator=0
6412	02_leaky_relu_leaky_relu0	60	60	20	tflite.Operator.outputs	sg=0;operator=0
6413	02_leaky_relu_leaky_relu0	60	60	21	tflite.Operator.builtin_options_type	sg=0;operator=0
6414	02_leaky_relu_leaky_relu0	60	60	22	tflite.Operator.builtin_options	sg=0;operator=0
6415	02_leaky_relu_leaky_relu0	60	60	23	tflite.Operator.custom_options	sg=0;operator=0
6416	02_leaky_relu_leaky_relu0	60	60	24	tflite.Operator.custom_options_format	sg=0;operator=0
6417	02_leaky_relu_leaky_relu0	60	60	25	tflite.Operator.mutating_variable_inputs	sg=0;operator=0
6418	02_leaky_relu_leaky_relu0	60	60	26	tflite.Operator.intermediates	sg=0;operator=0
6419	02_leaky_relu_leaky_relu0	60	60	27	tflite.OperatorCode.deprecated_builtin_code	opcode=0
6420	02_leaky_relu_leaky_relu0	60	60	28	tflite.OperatorCode.custom_code	opcode=0
6421	02_leaky_relu_leaky_relu0	60	60	29	tflite.OperatorCode.version	opcode=0
6422	02_leaky_relu_leaky_relu0	60	60	30	tflite.OperatorCode.builtin_code	opcode=0
6423	02_leaky_relu_leaky_relu0	60	60	31	tflite.Buffer.data	buffer=0
6424	02_leaky_relu_leaky_relu0	60	60	32	tflite.Buffer.offset	buffer=0
6425	02_leaky_relu_leaky_relu0	60	60	33	tflite.Buffer.size	buffer=0
6426	02_leaky_relu_leaky_relu0	61	61	0	tflite.Model.version	root
6427	02_leaky_relu_leaky_relu0	61	61	1	tflite.Model.description	root
6428	02_leaky_relu_leaky_relu0	61	61	2	tflite.Model.subgraphs	root
6429	02_leaky_relu_leaky_relu0	61	61	3	tflite.Model.operator_codes	root
6430	02_leaky_relu_leaky_relu0	61	61	4	tflite.Model.buffers	root
6431	02_leaky_relu_leaky_relu0	61	61	5	tflite.SubGraph.name	sg=0
6432	02_leaky_relu_leaky_relu0	61	61	6	tflite.SubGraph.inputs	sg=0
6433	02_leaky_relu_leaky_relu0	61	61	7	tflite.SubGraph.outputs	sg=0
6434	02_leaky_relu_leaky_relu0	61	61	8	tflite.SubGraph.tensors	sg=0
6435	02_leaky_relu_leaky_relu0	61	61	9	tflite.SubGraph.operators	sg=0
6436	02_leaky_relu_leaky_relu0	61	61	10	tflite.Tensor.shape	sg=0;tensor=1
6437	02_leaky_relu_leaky_relu0	61	61	11	tflite.Tensor.type	sg=0;tensor=1
6438	02_leaky_relu_leaky_relu0	61	61	12	tflite.Tensor.buffer	sg=0;tensor=1
6439	02_leaky_relu_leaky_relu0	61	61	13	tflite.Tensor.name	sg=0;tensor=1
6440	02_leaky_relu_leaky_relu0	61	61	14	tflite.Tensor.quantization	sg=0;tensor=1
6441	02_leaky_relu_leaky_relu0	61	61	15	tflite.Tensor.is_variable	sg=0;tensor=1
6442	02_leaky_relu_leaky_relu0	61	61	16	tflite.Tensor.shape_signature	sg=0;tensor=1
6443	02_leaky_relu_leaky_relu0	61	61	17	tflite.Tensor.has_rank	sg=0;tensor=1
6444	02_leaky_relu_leaky_relu0	61	61	18	tflite.Operator.opcode_index	sg=0;operator=0
6445	02_leaky_relu_leaky_relu0	61	61	19	tflite.Operator.inputs	sg=0;operator=0
6446	02_leaky_relu_leaky_relu0	61	61	20	tflite.Operator.outputs	sg=0;operator=0
6447	02_leaky_relu_leaky_relu0	61	61	21	tflite.Operator.builtin_options_type	sg=0;operator=0
6448	02_leaky_relu_leaky_relu0	61	61	22	tflite.Operator.builtin_options	sg=0;operator=0
6449	02_leaky_relu_leaky_relu0	61	61	23	tflite.Operator.custom_options	sg=0;operator=0
6450	02_leaky_relu_leaky_relu0	61	61	24	tflite.Operator.custom_options_format	sg=0;operator=0
6451	02_leaky_relu_leaky_relu0	61	61	25	tflite.Operator.mutating_variable_inputs	sg=0;operator=0
6452	02_leaky_relu_leaky_relu0	61	61	26	tflite.Operator.intermediates	sg=0;operator=0
6453	02_leaky_relu_leaky_relu0	61	61	27	tflite.OperatorCode.deprecated_builtin_code	opcode=0
6454	02_leaky_relu_leaky_relu0	61	61	28	tflite.OperatorCode.custom_code	opcode=0
6455	02_leaky_relu_leaky_relu0	61	61	29	tflite.OperatorCode.version	opcode=0
6456	02_leaky_relu_leaky_relu0	61	61	30	tflite.OperatorCode.builtin_code	opcode=0
6457	02_leaky_relu_leaky_relu0	61	61	31	tflite.Buffer.data	buffer=1
6458	02_leaky_relu_leaky_relu0	61	61	32	tflite.Buffer.offset	buffer=1
6459	02_leaky_relu_leaky_relu0	61	61	33	tflite.Buffer.size	buffer=1
6460	02_leaky_relu_leaky_relu0	62	62	0	tflite.Model.version	root
6461	02_leaky_relu_leaky_relu0	62	62	1	tflite.Model.description	root
6462	02_leaky_relu_leaky_relu0	62	62	2	tflite.Model.subgraphs	root
6463	02_leaky_relu_leaky_relu0	62	62	3	tflite.Model.operator_codes	root
6464	02_leaky_relu_leaky_relu0	62	62	4	tflite.Model.buffers	root
6465	02_leaky_relu_leaky_relu0	62	62	5	tflite.SubGraph.name	sg=0
6466	02_leaky_relu_leaky_relu0	62	62	6	tflite.SubGraph.inputs	sg=0
6467	02_leaky_relu_leaky_relu0	62	62	7	tflite.SubGraph.outputs	sg=0
6468	02_leaky_relu_leaky_relu0	62	62	8	tflite.SubGraph.tensors	sg=0
6469	02_leaky_relu_leaky_relu0	62	62	9	tflite.SubGraph.operators	sg=0
6470	02_leaky_relu_leaky_relu0	62	62	10	tflite.Tensor.shape	sg=0;tensor=0
6471	02_leaky_relu_leaky_relu0	62	62	11	tflite.Tensor.type	sg=0;tensor=0
6472	02_leaky_relu_leaky_relu0	62	62	12	tflite.Tensor.buffer	sg=0;tensor=0
6473	02_leaky_relu_leaky_relu0	62	62	13	tflite.Tensor.name	sg=0;tensor=0
