"manifest_id","manifest_sha256","mode","cell","replay","run_id","pass","error","record_count","logical_key_bytes","logical_value_bytes","total_sst_bytes","end_to_end_build_write_cpu_ns","end_to_end_build_write_wall_ns","peak_working_set_bytes","cold_full_scan_ns","warm_point_lookup_ns","warm_range_probe_ns","process_cpu_ns","process_wall_ns","run_directory_logical_bytes","selector_trace","result_sha256","result_path"
"nvd-2016","5D0D1C16FDE026E8FA96F739F5C2A0E91A72F5CF05003F6A9722E7033C73A80D","B2","G1","R1","nvd-2016-B2-G1-R1","True",,"954","21130","4171620","790104","375000000","1278226800","31318016","7251200","1561700","494200","406250000","1494273900","894134","current	11	70911	0	0	0	0	0	0	0	65536 || current	11	70911	0	0	0	0	0	0	0	65536","9920C11142419929DD8F9FC1881F665A9362AAE8E8B6309F5AFDCD9F3862CE1B","resources/build/claim-runs/nvd-2016-B2-G1-R1/result.json"
"nvd-2016","5D0D1C16FDE026E8FA96F739F5C2A0E91A72F5CF05003F6A9722E7033C73A80D","B2","G1","R2","nvd-2016-B2-G1-R2","True",,"954","21130","4171620","790104","343750000","1347321900","32342016","6365800","1468700","482000","375000000","1500443800","894134","current	11	70911	0	0	0	0	0	0	0	65536 || current	11	70911	0	0	0	0	0	0	0	65536","01E8E08F5B4A92A7DDC0CDC182DACB93594FA571AF58A13F0FF8C3A9328E9D4A","resources/build/claim-runs/nvd-2016-B2-G1-R2/result.json"
"nvd-2016","5D0D1C16FDE026E8FA96F739F5C2A0E91A72F5CF05003F6A9722E7033C73A80D","B2","G2","R1","nvd-2016-B2-G2-R1","True",,"954","21130","4171620","739110","328125000","1449856500","33021952","6013400","1348600","373300","437500000","1641293800","842400","current	19	144931	0	0	0	0	0	0	0	131072 || current	19	144931	0	0	0	0	0	0	0	131072","50F015C03FB274D1F109B84001F6752C3C85FD79A49276615851F43C01ABFAEE","resources/build/claim-runs/nvd-2016-B2-G2-R1/result.json"
"nvd-2016","5D0D1C16FDE026E8FA96F739F5C2A0E91A72F5CF05003F6A9722E7033C73A80D","B2","G2","R2","nvd-2016-B2-G2-R2","True",,"954","21130","4171620","739110","281250000","1367027700","29085696","5945300","1503100","513500","312500000","1559078800","843151","current	19	144931	0	0	0	0	0	0	0	131072 || current	19	144931	0	0	0	0	0	0	0	131072","14C33CE61733BF918609BD420AD0BEFB5D87D5EAC1DC42BD0243CD4054112589","resources/build/claim-runs/nvd-2016-B2-G2-R2/result.json"
"nvd-2016","5D0D1C16FDE026E8FA96F739F5C2A0E91A72F5CF05003F6A9722E7033C73A80D","B3","G1","R1","nvd-2016-B3-G1-R1","True",,"954","21130","4171620","829973","265625000","1280531800","29007872","6423800","1465400","503800","312500000","1401237800","934003","prefix	11	75854	0	0	0	0	0	0	0	65536 || prefix	11	75854	0	0	0	0	0	0	0	65536","1AD2C90DE7B6D8A61E4E42AD5D1D188AF8FE2540E9E50A023704804F113C9B62","resources/build/claim-runs/nvd-2016-B3-G1-R1/result.json"
"nvd-2016","5D0D1C16FDE026E8FA96F739F5C2A0E91A72F5CF05003F6A9722E7033C73A80D","B3","G1","R2","nvd-2016-B3-G1-R2","True",,"954","21130","4171620","829973","312500000","893362600","32481280","7614600","1836400","500300","359375000","1003341000","934004","prefix	11	75854	0	0	0	0	0	0	0	65536 || prefix	11	75854	0	0	0	0	0	0	0	65536","4ED997DEC6728894338662564EB4BD8B9BB00CA01D821DF424F09287D00684A1","resources/build/claim-runs/nvd-2016-B3-G1-R2/result.json"
"nvd-2016","5D0D1C16FDE026E8FA96F739F5C2A0E91A72F5CF05003F6A9722E7033C73A80D","B3","G2","R1","nvd-2016-B3-G2-R1","True",,"954","21130","4171620","769047","375000000","893875800","30670848","6006500","1548200","555000","421875000","982084100","873061","prefix	22	147690	0	0	0	0	0	0	0	131072 || prefix	22	147690	0	0	0	0	0	0	0	131072","4DE8784AB481F7C970E020EF2C1025416C3A61F5FDDCC77E65D15B40A0F60257","resources/build/claim-runs/nvd-2016-B3-G2-R1/result.json"
"nvd-2016","5D0D1C16FDE026E8FA96F739F5C2A0E91A72F5CF05003F6A9722E7033C73A80D","B3","G2","R2","nvd-2016-B3-G2-R2","True",,"954","21130","4171620","769047","296875000","1238264600","31129600","6233100","1628300","585300","359375000","1342739300","873084","prefix	22	147690	0	0	0	0	0	0	0	131072 || prefix	22	147690	0	0	0	0	0	0	0	131072","32F6406297E438D4A857E3B5ACF4CADF7CBE8153CFAA7413547BC0B9E0A0A7FE","resources/build/claim-runs/nvd-2016-B3-G2-R2/result.json"
"nvd-2016","5D0D1C16FDE026E8FA96F739F5C2A0E91A72F5CF05003F6A9722E7033C73A80D","B4","G1","R1","nvd-2016-B4-G1-R1","True",,"954","21130","4171620","801397","359375000","1219633400","25567232","6331900","1918300","505800","406250000","1322596200","905436","reservoir	38	263681	0	0	0	0	0	0	0	65128 || reservoir	38	263681	0	0	0	0	0	0	0	65128","DDBD60CA6A9FA3EA9EAF84E75B38AD7B7009469E893D09067320DA94102FBCC1","resources/build/claim-runs/nvd-2016-B4-G1-R1/result.json"
"nvd-2016","5D0D1C16FDE026E8FA96F739F5C2A0E91A72F5CF05003F6A9722E7033C73A80D","B4","G1","R2","nvd-2016-B4-G1-R2","True",,"954","21130","4171620","801397","343750000","1001006200","30183424","6560200","1575400","538900","390625000","1095256800","905435","reservoir	38	263681	0	0	0	0	0	0	0	65128 || reservoir	38	263681	0	0	0	0	0	0	0	65128","9F907770262A21F1C6EF78070F577CF3674E6A951A1652525E3C22026F40F6DD","resources/build/claim-runs/nvd-2016-B4-G1-R2/result.json"
