trace_id,variant,replay,preprocessing_time_ns,preprocessing_cost_source,dependency_graph_and_extraction_time_ns,order_and_batch_construction_time_ns,fallback_and_legality_oracle_time_ns,scheduling_total_time_ns,veripb_checker_time_ns,cakepb_checker_time_ns,full_time_ns,proof_bytes,kernel_bytes,certificate_bytes,disk_io_bytes,peak_rss_bytes,fallback_to_original,output_wcnf_sha256,output_hash_equal_to_frozen,objective_equality,veripb_forced_checked_accept,cakepb_equioptimal_accept,proof_sha256,kernel_sha256
zenodo__kbtree-kbtree9_7_3_5_80_6.wcsp,greedy_earliest_ready,1,28891869,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,15334700,0,0,15334700,52916800,113329500,210472869,483552,854140,1337692,1379531,236130304,True,2110CBA33B61AFE3000E0AE91720444B965E9BA1081916B407B4A85ADF830026,True,True,True,True,A33BF0601FFCB221307F030BD4D0071524955B8DBFF827C31FD97CE8CF34346E,E8975C88C4435E08B04C4D3D7F90082E081350EE9FA667D1BB6756C5D7727DD2
zenodo__kbtree-kbtree9_7_3_5_80_6.wcsp,greedy_earliest_ready,2,28891869,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,15334700,0,0,15334700,52931000,112903400,210060969,483552,854140,1337692,1379531,236118016,True,2110CBA33B61AFE3000E0AE91720444B965E9BA1081916B407B4A85ADF830026,True,True,True,True,A33BF0601FFCB221307F030BD4D0071524955B8DBFF827C31FD97CE8CF34346E,E8975C88C4435E08B04C4D3D7F90082E081350EE9FA667D1BB6756C5D7727DD2
zenodo__kbtree-kbtree9_7_3_5_80_6.wcsp,candidate_frontier,1,28891869,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,15334700,13731500,172431200,201497400,52743100,114146500,397278869,483552,854140,1337692,1379531,236101632,False,2110CBA33B61AFE3000E0AE91720444B965E9BA1081916B407B4A85ADF830026,True,True,True,True,3238D2A5C1AE20A788E8019545D92E0C22B3FF66F80CDEBFE4AE037BBBBAD775,AD96DDFD7912FCBEFFD1855684520AA62CD522923F5FAF5DD51471D625D42B5C
zenodo__kbtree-kbtree9_7_3_5_80_6.wcsp,candidate_frontier,2,28891869,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,15334700,13731500,172431200,201497400,53210000,114022500,397621769,483552,854140,1337692,1379531,236105728,False,2110CBA33B61AFE3000E0AE91720444B965E9BA1081916B407B4A85ADF830026,True,True,True,True,3238D2A5C1AE20A788E8019545D92E0C22B3FF66F80CDEBFE4AE037BBBBAD775,AD96DDFD7912FCBEFFD1855684520AA62CD522923F5FAF5DD51471D625D42B5C
zenodo__logic-synthesis-normalized-5xp1.b.opb.msat,original,1,74469906,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,0,0,0,0,92191300,270805700,437466906,833388,1628850,2462238,2613917,541962240,False,CF2D32A2A9864CDFE5799A4D091A0F99508C0DF6DA3F43975E46F3C78A4E7F65,True,True,True,True,09F9949EE8468D5522528464C554210797F3E826CF32BA7FC9C042C8C75182EB,830044543708BAA817865FF69F3A8AEF77F563093227EDA7030D69CF58407B31
zenodo__logic-synthesis-normalized-5xp1.b.opb.msat,original,2,74469906,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,0,0,0,0,97679400,279966200,452115506,833388,1628850,2462238,2613917,541962240,False,CF2D32A2A9864CDFE5799A4D091A0F99508C0DF6DA3F43975E46F3C78A4E7F65,True,True,True,True,09F9949EE8468D5522528464C554210797F3E826CF32BA7FC9C042C8C75182EB,830044543708BAA817865FF69F3A8AEF77F563093227EDA7030D69CF58407B31
zenodo__logic-synthesis-normalized-5xp1.b.opb.msat,stable_legal,1,74469906,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,28544000,0,0,28544000,103732400,284489200,491235506,833388,1628850,2462238,2613917,541962240,True,CF2D32A2A9864CDFE5799A4D091A0F99508C0DF6DA3F43975E46F3C78A4E7F65,True,True,True,True,09F9949EE8468D5522528464C554210797F3E826CF32BA7FC9C042C8C75182EB,830044543708BAA817865FF69F3A8AEF77F563093227EDA7030D69CF58407B31
zenodo__logic-synthesis-normalized-5xp1.b.opb.msat,stable_legal,2,74469906,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,28544000,0,0,28544000,98656700,271778000,473448606,833388,1628850,2462238,2613917,541962240,True,CF2D32A2A9864CDFE5799A4D091A0F99508C0DF6DA3F43975E46F3C78A4E7F65,True,True,True,True,09F9949EE8468D5522528464C554210797F3E826CF32BA7FC9C042C8C75182EB,830044543708BAA817865FF69F3A8AEF77F563093227EDA7030D69CF58407B31
zenodo__logic-synthesis-normalized-5xp1.b.opb.msat,greedy_earliest_ready,1,74469906,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,28544000,0,0,28544000,96219700,268836200,468069806,833388,1628850,2462238,2613917,541954048,True,CF2D32A2A9864CDFE5799A4D091A0F99508C0DF6DA3F43975E46F3C78A4E7F65,True,True,True,True,09F9949EE8468D5522528464C554210797F3E826CF32BA7FC9C042C8C75182EB,830044543708BAA817865FF69F3A8AEF77F563093227EDA7030D69CF58407B31
zenodo__logic-synthesis-normalized-5xp1.b.opb.msat,greedy_earliest_ready,2,74469906,OFFICIAL_ARTIFACT_DATA_MAXPRE_DEFAULT_CHECKED_SOLVING_TIME,28544000,0,0,28544000,96896800,267993600,467904306,833388,1628850,2462238,2613917,541958144,True,CF2D32A2A9864CDFE5799A4D091A0F99508C0DF6DA3F43975E46F3C78A4E7F65,True,True,True,True,09F9949EE8468D5522528464C554210797F3E826CF32BA7FC9C042C8C75182EB,830044543708BAA817865FF69F3A8AEF77F563093227EDA7030D69CF58407B31
