corpus	pair_index	order_position	variant	exit_code	elapsed_ns	cpu_ns	peak_working_set_bytes	nodes	arcs	returned_bits	build_ns	sequential_validate_ns	ef_build_ns	random_validate_and_query_ns	harness_query_checksum	reader_exit_code	reader_process_elapsed_ns	reader_process_cpu_ns	reader_peak_working_set_bytes	reader_sequential_full_decode_ns	reader_random_100k_ns	reader_sequential_checksum	reader_random_checksum	native_payload_bytes	graph_sha256	offsets_sha256	properties_sha256	ef_sha256
cnr-2000	10	0	baseline	0	507178200	468750000	66224128	325557	3216152	9319309	151606400	49236200	4962200	159880000	16859436873049021023	0	115417800	62500000	9146368	22465200	38446900	5019149153090492236	7112103088105708235	1486606	A078715B89770338192EE7BE42BCC05D62FFFC734017457C0891DE923FB858CE	E777137D0127AAA40C30CB896D1B3A138E25D10AB4C8AC8F454455BC57D161A3	194FBE47188E4F3DB74A53E7363D7B17293D132BEE94ED8D4E974EB92BF35701	9E36D7E27E8D23B9BEDA231170497D41587B00A139B279A826CFA70E1AF7F1B6
cnr-2000	10	1	candidate	0	4060874600	3906250000	66195456	325557	3216152	8763554	3710266400	47371200	5300000	156633600	16859436873049021023	0	123647800	78125000	9011200	21994500	43441600	5019149153090492236	7112103088105708235	1413845	FCA303AE9E2D537446D907159BA4583B050422329865D6C137C5BF1E9BB30415	C51F0DF7CBF88FC5D5B38474440E13AB86068038CEA7E7AD99FA1DEC6D79641B	6BB9E893301AF8E9FE682819CB5FB2DC9E28A19C1F75D39652908076BE58A2AB	7F4CB983A01D37466315B20E435F2CB3D09413AB0756EB7D06B71798C83220C3
wiki-vote	0	0	baseline	0	111804400	62500000	13357056	7115	103689	876503	26938200	12131000	1278600	14335000	15912400819775153403	0	84421100	62500000	6811648	1543500	34590700	8405750924769033072	15713523021230978864	118664	DD46557BBE1B69072CD23DC7631FFB631A2FA3C7C874649B591E7F2B6B66A327	4C397BF171D9D3A58CEC7F104654FA5C23E3D71B1238C2C65569CE05FE1A3267	6E364DAD11D1F42A3DB724F8E792AA8680BA8CAC919FF08C158B7D4BDDD658A2	160D56AF4DCF4ECBF02D3A7782525F280EC7AC41685ED07EECFFFB09D4DC8386
wiki-vote	0	1	candidate	0	205220500	140625000	13434880	7115	103689	875555	120609800	10668000	1068200	12907000	15912400819775153403	0	91963900	46875000	6791168	1059000	33118000	8405750924769033072	15713523021230978864	118537	0550AFDA16D8D1724B5F527F675E579EFCD993DD164901B518CA32E10E8F234D	DC4FA4B150A3831677B78F000C9656E3F9FC9E972AD2BADE749DA27BBF07C40A	B3E57A67D465F432E3FDBEA30ADD6D30834E816B16EBB3263986A5DFC15892F3	17DD219B0B7116955503649259BB5BE7997B9B4E011B9C2DEE69ED403BC5E0CA
wiki-vote	1	0	candidate	0	212613800	140625000	13561856	7115	103689	875555	122322200	8532800	1050000	11829500	15912400819775153403	0	72761400	78125000	6807552	1013200	32784800	8405750924769033072	15713523021230978864	118537	0550AFDA16D8D1724B5F527F675E579EFCD993DD164901B518CA32E10E8F234D	DC4FA4B150A3831677B78F000C9656E3F9FC9E972AD2BADE749DA27BBF07C40A	B3E57A67D465F432E3FDBEA30ADD6D30834E816B16EBB3263986A5DFC15892F3	17DD219B0B7116955503649259BB5BE7997B9B4E011B9C2DEE69ED403BC5E0CA
wiki-vote	1	1	baseline	0	112738200	46875000	13135872	7115	103689	876503	25480900	11222100	1196400	12546200	15912400819775153403	0	80187300	46875000	6787072	1291700	34076000	8405750924769033072	15713523021230978864	118664	DD46557BBE1B69072CD23DC7631FFB631A2FA3C7C874649B591E7F2B6B66A327	4C397BF171D9D3A58CEC7F104654FA5C23E3D71B1238C2C65569CE05FE1A3267	6E364DAD11D1F42A3DB724F8E792AA8680BA8CAC919FF08C158B7D4BDDD658A2	160D56AF4DCF4ECBF02D3A7782525F280EC7AC41685ED07EECFFFB09D4DC8386
wiki-vote	2	0	baseline	0	99851600	46875000	13193216	7115	103689	876503	28323000	8537000	1396600	12677400	15912400819775153403	0	81175000	46875000	6803456	1832900	31751900	8405750924769033072	15713523021230978864	118664	DD46557BBE1B69072CD23DC7631FFB631A2FA3C7C874649B591E7F2B6B66A327	4C397BF171D9D3A58CEC7F104654FA5C23E3D71B1238C2C65569CE05FE1A3267	6E364DAD11D1F42A3DB724F8E792AA8680BA8CAC919FF08C158B7D4BDDD658A2	160D56AF4DCF4ECBF02D3A7782525F280EC7AC41685ED07EECFFFB09D4DC8386
wiki-vote	2	1	candidate	0	186542900	109375000	13619200	7115	103689	875555	114404200	9941300	1143200	11284600	15912400819775153403	0	84547400	15625000	6811648	1202100	34045300	8405750924769033072	15713523021230978864	118537	0550AFDA16D8D1724B5F527F675E579EFCD993DD164901B518CA32E10E8F234D	DC4FA4B150A3831677B78F000C9656E3F9FC9E972AD2BADE749DA27BBF07C40A	B3E57A67D465F432E3FDBEA30ADD6D30834E816B16EBB3263986A5DFC15892F3	17DD219B0B7116955503649259BB5BE7997B9B4E011B9C2DEE69ED403BC5E0CA
wiki-vote	3	0	candidate	0	205118700	156250000	13418496	7115	103689	875555	111084600	10973000	1742300	12521300	15912400819775153403	0	85043900	31250000	6795264	998200	32386800	8405750924769033072	15713523021230978864	118537	0550AFDA16D8D1724B5F527F675E579EFCD993DD164901B518CA32E10E8F234D	DC4FA4B150A3831677B78F000C9656E3F9FC9E972AD2BADE749DA27BBF07C40A	B3E57A67D465F432E3FDBEA30ADD6D30834E816B16EBB3263986A5DFC15892F3	17DD219B0B7116955503649259BB5BE7997B9B4E011B9C2DEE69ED403BC5E0CA
wiki-vote	3	1	baseline	0	111843000	31250000	13479936	7115	103689	876503	25040700	10280600	1193800	13890600	15912400819775153403	0	86506600	46875000	6791168	1001000	32121600	8405750924769033072	15713523021230978864	118664	DD46557BBE1B69072CD23DC7631FFB631A2FA3C7C874649B591E7F2B6B66A327	4C397BF171D9D3A58CEC7F104654FA5C23E3D71B1238C2C65569CE05FE1A3267	6E364DAD11D1F42A3DB724F8E792AA8680BA8CAC919FF08C158B7D4BDDD658A2	160D56AF4DCF4ECBF02D3A7782525F280EC7AC41685ED07EECFFFB09D4DC8386
