split,family,model,arm,eligible,verify,equality,identifier,alignment,bytes,weighted_distance,nodes,aliases,builder_calls,builder_wall_us,builder_cpu_us,builder_capacity_bytes,builder_scratch_bytes,builder_reallocated,verify_wall_us,verify_cpu_us,equivalence_wall_us,equivalence_cpu_us,reader_generic_warm_ns,reader_generic_cold_ns,reader_trace_warm_ns,reader_trace_warm_cpu_ns,reader_trace_cold_ns,reader_trace_cold_cpu_ns,graph_extraction_wall_us,graph_extraction_cpu_us,planner_wall_ms,planner_cpu_ms,planner_peak_rss,planner_states,planner_transitions,planner_merges,planner_distinct_raw_merges,planner_temp_bytes,useful_residual_actions,candidate_plan_transitions,fallback,process_peak_rss,total_temp_bytes,end_to_end_construction_wall_us,end_to_end_construction_cpu_us,canonical_fnv64,plan_fnv64
train,leaky_relu,04_leaky_relu_leaky_relu22,generic_bounded_beam,1,1,1,1,1,632,3635456,32,0,93,2.643,0.000,1024,0,0,0.161,5.000,39.500,0.000,14.920,70722.000,29.160,0.000,69872.000,80000.000,75.700,0.000,4.418,5.000,4804608,256,2822,0,0,8896,0,32,0,13340672,9920,4535.805,5005.000,2909210619804601163,11682568396305527590
train,leaky_relu,04_leaky_relu_leaky_relu22,fb_rcfdp_bounded,1,1,1,1,1,632,3635456,32,0,93,2.617,0.000,1024,0,0,0.161,0.000,39.300,0.000,14.880,71224.000,28.040,0.000,68582.000,60000.000,75.700,0.000,11.030,11.000,5029888,249,2822,29,29,8480,0,32,0,13340672,9504,11147.477,11000.000,2909210619804601163,340680833832684476
train,pad,05_pad_pad0,generated_pack_default,1,1,1,1,1,784,1875456,38,0,0,2.457,0.000,1024,0,0,0.196,0.000,61.600,0.000,15.940,72786.000,28.700,0.000,70472.000,60000.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,13385728,1024,64.253,0.000,1231445083847178882,1469598103934665603
train,pad,05_pad_pad0,stable_legal_topo,1,1,1,1,1,816,3111680,38,0,111,3.227,0.000,1024,0,0,0.193,0.000,52.200,0.000,16.060,72122.000,28.500,0.000,69382.000,60000.000,78.100,0.000,0.006,0.000,4284416,38,0,0,0,304,0,38,0,13443072,1328,140.120,0.000,1231445083847178882,6468791518998523600
train,pad,05_pad_pad0,stable_dedup_off,1,1,1,1,1,848,3317248,38,0,111,2.187,0.000,1024,0,0,0.193,0.000,53.600,0.000,15.940,71016.000,28.460,200.000,69906.000,60000.000,78.100,0.000,0.006,0.000,4284416,38,0,0,0,304,0,38,0,13443072,1328,140.479,0.000,1231445083847178882,6468791518998523600
train,pad,05_pad_pad0,stable_size_matched_capacity,1,1,1,1,1,816,3111680,38,0,111,3.387,0.000,1176,0,1,0.214,0.000,49.600,0.000,19.680,71202.000,29.840,0.000,69592.000,80000.000,78.100,0.000,0.006,0.000,4284416,38,0,0,0,304,0,38,0,13443072,1480,137.700,0.000,1231445083847178882,6468791518998523600
train,pad,05_pad_pad0,hot_first_ready,1,1,1,1,1,800,3581952,38,0,111,3.687,0.000,1024,0,0,0.191,0.000,48.200,0.000,15.860,71250.000,28.140,0.000,80126.000,80000.000,78.100,0.000,0.012,0.000,4284416,38,0,0,0,304,0,38,0,13443072,1328,142.478,0.000,1231445083847178882,8960362800781407636
train,pad,05_pad_pad0,local_field_order,1,1,1,1,1,800,3086336,38,0,111,3.473,0.000,1024,0,0,0.193,5.000,55.000,0.000,15.920,74046.000,28.440,0.000,69060.000,80000.000,78.100,0.000,0.004,0.000,4284416,38,0,0,0,304,0,38,0,13443072,1328,140.466,5.000,1231445083847178882,2476321706732926500
train,pad,05_pad_pad0,generic_bounded_beam,1,1,1,1,1,800,6088192,38,0,111,3.177,0.000,1024,0,0,0.189,0.000,56.800,0.000,15.860,70630.000,29.100,0.000,68782.000,80000.000,78.100,0.000,6.572,7.000,5046272,304,3912,0,0,10624,0,38,0,13443072,11648,6710.466,7000.000,1231445083847178882,4143527879970738296
train,pad,05_pad_pad0,fb_rcfdp_bounded,1,1,1,1,1,800,6088192,38,0,111,3.130,0.000,1024,0,0,0.190,0.000,55.900,0.000,15.900,72342.000,28.280,0.000,68556.000,60000.000,78.100,0.000,16.829,17.000,5259264,297,3912,23,23,10112,0,38,0,13443072,11136,16966.820,17000.000,1231445083847178882,4143527879970738296
train,pad,06_pad_pad10,generated_pack_default,1,1,1,1,1,832,1951488,38,0,0,2.277,0.000,1024,0,0,0.191,0.000,55.200,0.000,15.760,71536.000,28.480,0.000,70838.000,60000.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,13434880,1024,57.668,0.000,3041057189972117130,1469598103934665603
train,pad,06_pad_pad10,stable_legal_topo,1,1,1,1,1,848,3255296,38,0,111,3.220,0.000,1024,0,0,0.193,0.000,73.200,0.000,15.820,71578.000,27.980,0.000,69770.000,60000.000,83.700,0.000,0.006,0.000,4284416,38,0,0,0,304,0,38,0,13471744,1328,166.512,0.000,3041057189972117130,6468791518998523600
train,pad,06_pad_pad10,stable_dedup_off,1,1,1,1,1,896,3539712,38,0,111,2.143,0.000,1024,0,0,0.191,0.000,56.900,0.000,15.580,73600.000,28.140,0.000,68442.000,60000.000,83.700,0.000,0.006,0.000,4284416,38,0,0,0,304,0,38,0,13471744,1328,149.135,0.000,3041057189972117130,6468791518998523600
train,pad,06_pad_pad10,stable_size_matched_capacity,1,1,1,1,1,848,3255296,38,0,111,5.620,0.000,1248,0,1,0.322,0.000,113.900,0.000,17.020,70708.000,29.040,0.000,68250.000,80000.000,83.700,0.000,0.006,0.000,4284416,38,0,0,0,304,0,38,0,13475840,1552,209.742,0.000,3041057189972117130,6468791518998523600
train,pad,06_pad_pad10,hot_first_ready,1,1,1,1,1,848,3773440,38,0,111,3.760,0.000,1024,0,0,0.276,0.000,76.600,0.000,15.580,71310.000,28.200,0.000,69182.000,80000.000,83.700,0.000,0.012,0.000,4284416,38,0,0,0,304,0,38,0,13475840,1328,176.436,0.000,3041057189972117130,8960362800781407636
train,pad,06_pad_pad10,local_field_order,1,1,1,1,1,832,3229952,38,0,111,3.427,0.000,1024,0,0,0.193,0.000,77.700,0.000,15.900,70458.000,28.360,0.000,69768.000,60000.000,83.700,0.000,0.004,0.000,4284416,38,0,0,0,304,0,38,0,13451264,1328,168.820,0.000,3041057189972117130,2476321706732926500
train,pad,06_pad_pad10,generic_bounded_beam,1,1,1,1,1,848,6676736,38,0,111,3.477,0.000,1024,0,0,0.191,0.000,75.600,0.000,15.960,71072.000,28.480,0.000,69152.000,60000.000,83.700,0.000,6.500,7.000,5058560,304,3903,0,0,11008,0,38,0,13459456,12032,6662.968,7000.000,3041057189972117130,4116973634461124594
train,pad,06_pad_pad10,fb_rcfdp_bounded,1,1,1,1,1,848,6676736,38,0,111,3.257,0.000,1024,0,0,0.191,0.000,59.900,0.000,15.960,70440.000,28.520,200.000,69750.000,60000.000,83.700,0.000,16.807,17.000,5341184,297,3903,23,23,10528,0,38,0,13459456,11552,16954.148,17000.000,3041057189972117130,4116973634461124594
train,pad,07_pad_pad18,generated_pack_default,1,1,1,1,1,816,1923328,38,0,0,2.300,0.000,1024,0,0,0.191,0.000,53.200,0.000,15.820,72478.000,28.460,0.000,68112.000,80000.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,13398016,1024,55.691,0.000,2504727982801225443,1469598103934665603
train,pad,07_pad_pad18,stable_legal_topo,1,1,1,1,1,832,3193344,38,0,111,2.973,0.000,1024,0,0,0.189,0.000,48.500,0.000,15.740,70386.000,28.020,0.000,68600.000,80000.000,75.000,0.000,0.006,0.000,4284416,38,0,0,0,304,0,38,0,13455360,1328,132.662,0.000,2504727982801225443,6468791518998523600
train,pad,07_pad_pad18,stable_dedup_off,1,1,1,1,1,880,3432704,38,0,111,2.160,0.000,1024,0,0,0.189,0.000,50.900,0.000,15.640,71012.000,29.000,0.000,68774.000,60000.000,75.000,0.000,0.006,0.000,4284416,38,0,0,0,304,0,38,0,13459456,1328,134.249,0.000,2504727982801225443,6468791518998523600
train,pad,07_pad_pad18,stable_size_matched_capacity,1,1,1,1,1,832,3193344,38,0,111,3.397,33.333,1224,0,1,0.191,0.000,55.700,0.000,16.500,71510.000,28.680,0.000,69836.000,80000.000,75.000,0.000,0.006,0.000,4284416,38,0,0,0,304,0,38,0,13463552,1528,140.287,33.333,2504727982801225443,6468791518998523600
train,pad,07_pad_pad18,hot_first_ready,1,1,1,1,1,832,3652352,38,0,111,3.467,0.000,1024,0,0,0.191,0.000,56.300,0.000,15.820,70296.000,29.340,0.000,69052.000,80000.000,75.000,0.000,0.012,0.000,4284416,38,0,0,0,304,0,38,0,13410304,1328,146.958,0.000,2504727982801225443,8960362800781407636
train,pad,07_pad_pad18,local_field_order,1,1,1,1,1,816,3168000,38,0,111,3.280,0.000,1024,0,0,0.216,0.000,45.200,0.000,15.740,70716.000,29.140,0.000,68924.000,60000.000,75.000,0.000,0.004,0.000,4284416,38,0,0,0,304,0,38,0,13410304,1328,127.496,0.000,2504727982801225443,2476321706732926500
train,pad,07_pad_pad18,generic_bounded_beam,1,1,1,1,1,832,6454272,38,0,111,2.990,0.000,1024,0,0,0.187,0.000,43.500,1000.000,15.500,70284.000,28.320,0.000,69028.000,80000.000,75.000,0.000,6.499,7.000,5042176,304,3903,0,0,10880,0,38,0,13410304,11904,6620.477,8000.000,2504727982801225443,4116973634461124594
train,pad,07_pad_pad18,fb_rcfdp_bounded,1,1,1,1,1,832,6454272,38,0,111,3.013,0.000,1024,0,0,0.189,0.000,42.600,0.000,15.620,70704.000,28.220,0.000,68754.000,60000.000,75.000,0.000,16.509,16.000,5263360,297,3903,23,23,10368,0,38,0,13410304,11392,16630.202,16000.000,2504727982801225443,4116973634461124594
train,add,08_add_add0,generated_pack_default,1,1,1,1,1,1288,2804736,41,0,0,2.580,0.000,1536,0,1,0.198,0.000,60.200,1000.000,14.620,69968.000,27.640,0.000,67988.000,80000.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,13598720,1536,62.978,1000.000,4642472383079383666,1469598103934665603
train,add,08_add_add0,stable_legal_topo,1,1,1,1,1,1304,5240576,41,0,115,3.727,0.000,1536,0,1,0.196,0.000,53.400,0.000,14.620,70064.000,27.540,0.000,67886.000,80000.000,78.900,0.000,0.006,0.000,4292608,41,0,0,0,328,0,41,0,13656064,1864,142.522,0.000,4642472383079383666,12237940794841257948
train,add,08_add_add0,stable_dedup_off,1,1,1,1,1,1360,5555968,41,0,115,2.653,0.000,1536,0,1,0.196,0.000,48.200,0.000,14.680,69264.000,27.440,200.000,68800.000,60000.000,78.900,0.000,0.006,0.000,4292608,41,0,0,0,328,0,41,0,13656064,1864,136.250,0.000,4642472383079383666,12237940794841257948
train,add,08_add_add0,stable_size_matched_capacity,1,1,1,1,1,1304,5240576,41,0,115,3.873,0.000,1936,0,1,0.197,0.000,48.700,0.000,14.600,69644.000,28.440,0.000,68586.000,80000.000,78.900,0.000,0.006,0.000,4292608,41,0,0,0,328,0,41,0,13660160,2264,137.970,0.000,4642472383079383666,12237940794841257948
train,add,08_add_add0,hot_first_ready,1,1,1,1,1,1296,6144512,41,0,115,3.743,0.000,1536,0,1,0.196,0.000,44.900,0.000,14.640,69976.000,27.500,0.000,69072.000,60000.000,78.900,0.000,0.011,0.000,4292608,41,0,0,0,328,0,41,0,13660160,1864,139.139,0.000,4642472383079383666,3985377294750611604
train,add,08_add_add0,local_field_order,1,1,1,1,1,1288,5215232,41,0,115,3.667,33.333,1536,0,1,0.196,0.000,47.200,0.000,14.640,69838.000,27.680,0.000,68068.000,80000.000,78.900,0.000,0.004,0.000,4292608,41,0,0,0,328,0,41,0,13660160,1864,134.163,33.333,4642472383079383666,16053506452049370144
